,Chuquisaca,La Paz,Cochabamba,Oruro,Potosí,Tarija,Santa Cruz,Beni,Pando,tipo
2020-04-14,0.00,11.00,3.00,16.00,0.00,0.00,13.00,0.00,0.00,casos
2020-04-15,0.00,10.00,2.00,7.00,0.00,0.00,25.00,0.00,0.00,casos
2020-04-16,0.00,19.00,0.00,1.00,1.00,0.00,3.00,0.00,0.00,casos
2020-04-17,0.00,0.00,1.00,4.00,2.00,1.00,19.00,0.00,1.00,casos
2020-04-18,0.00,6.00,0.00,3.00,0.00,0.00,18.00,0.00,0.00,casos
2020-04-19,0.00,7.00,1.00,0.00,1.00,0.00,35.00,0.00,0.00,casos
2020-04-20,0.00,1.00,0.00,4.00,0.00,0.00,27.00,2.00,0.00,casos
2020-04-21,0.00,3.00,1.00,0.00,0.00,0.00,7.00,0.00,0.00,casos
2020-04-22,0.00,3.00,1.00,10.00,2.00,0.00,47.00,0.00,0.00,casos
2020-04-23,1.00,10.00,3.00,3.00,0.00,0.00,14.00,0.00,0.00,casos
2020-04-24,0.00,5.00,4.00,3.00,0.00,0.00,61.00,31.00,0.00,casos
2020-04-25,0.00,4.00,1.00,0.00,5.00,0.00,43.00,6.00,0.00,casos
2020-04-26,0.00,9.00,7.00,14.00,0.00,0.00,36.00,18.00,0.00,casos
2020-04-27,1.00,17.00,0.00,13.00,0.00,0.00,28.00,5.00,0.00,casos
2020-04-28,0.00,3.00,1.00,0.00,0.00,0.00,34.00,1.00,0.00,casos
2020-04-29,0.00,14.00,1.00,10.00,0.00,0.00,28.00,4.00,0.00,casos
2020-04-30,0.00,16.00,0.00,0.00,0.00,0.00,41.00,0.00,0.00,casos
2020-05-01,1.00,3.00,0.00,5.00,0.00,0.00,37.00,16.00,0.00,casos
2020-05-02,0.00,15.00,1.00,4.00,0.00,0.00,113.00,108.00,0.00,casos
2020-05-03,0.00,5.00,0.00,0.00,0.00,0.00,98.00,21.00,0.00,casos
2020-05-04,1.00,2.00,1.00,0.00,7.00,1.00,75.00,0.00,0.00,casos
2020-05-05,1.00,10.00,0.00,2.00,2.00,2.00,104.00,0.00,0.00,casos
2020-05-06,0.00,7.00,0.00,0.00,0.00,0.00,77.00,0.00,0.00,casos
2020-05-07,5.00,11.00,0.00,2.00,0.00,0.00,158.00,19.00,0.00,casos
2020-05-08,0.00,23.00,8.00,1.00,0.00,3.00,69.00,81.00,0.00,casos
2020-05-09,3.00,7.00,5.00,5.00,0.00,1.00,150.00,0.00,0.00,casos
2020-05-10,1.00,8.00,9.00,3.00,0.00,0.00,96.00,2.00,0.00,casos
2020-05-11,0.00,4.00,5.00,0.00,1.00,0.00,190.00,75.00,0.00,casos
2020-05-12,0.00,3.00,21.00,4.00,0.00,3.00,102.00,0.00,0.00,casos
2020-05-13,0.00,3.00,18.00,0.00,0.00,0.00,116.00,47.00,0.00,casos
2020-05-14,0.00,3.00,22.00,4.00,0.00,0.00,122.00,73.00,0.00,casos
2020-05-15,0.00,6.00,26.00,0.00,0.00,0.00,134.00,39.00,0.00,casos
2020-05-16,1.00,5.00,18.00,1.00,0.00,0.00,221.00,3.00,0.00,casos
2020-05-17,1.00,2.00,10.00,2.00,2.00,0.00,245.00,0.00,0.00,casos
2020-05-18,0.00,7.00,4.00,2.00,1.00,0.00,131.00,30.00,0.00,casos
2020-05-19,0.00,13.00,18.00,1.00,0.00,0.00,88.00,98.00,0.00,casos
2020-05-20,2.00,8.00,13.00,0.00,1.00,1.00,259.00,154.00,0.00,casos
2020-05-21,0.00,12.00,7.00,3.00,1.00,3.00,173.00,69.00,0.00,casos
2020-05-22,0.00,6.00,19.00,2.00,0.00,1.00,251.00,113.00,0.00,casos
2020-05-23,2.00,5.00,10.00,2.00,0.00,0.00,235.00,82.00,0.00,casos
2020-05-24,0.00,8.00,34.00,5.00,1.00,0.00,299.00,0.00,1.00,casos
2020-05-25,1.00,9.00,10.00,1.00,2.00,1.00,328.00,45.00,0.00,casos
2020-05-26,0.00,7.00,6.00,2.00,0.00,0.00,361.00,100.00,0.00,casos
2020-05-27,3.00,5.00,31.00,2.00,0.00,0.00,478.00,113.00,0.00,casos
2020-05-28,0.00,8.00,43.00,4.00,2.00,3.00,408.00,151.00,0.00,casos
2020-05-29,0.00,21.00,69.00,7.00,2.00,2.00,172.00,70.00,1.00,casos
2020-05-30,0.00,34.00,68.00,24.00,0.00,8.00,596.00,131.00,0.00,casos
2020-05-31,1.00,29.00,55.00,14.00,20.00,0.00,169.00,102.00,0.00,casos
2020-06-01,2.00,48.00,103.00,6.00,2.00,5.00,307.00,76.00,0.00,casos
2020-06-02,1.00,59.00,72.00,8.00,23.00,0.00,217.00,80.00,0.00,casos
2020-06-03,2.00,21.00,65.00,4.00,5.00,3.00,402.00,136.00,9.00,casos
2020-06-04,1.00,26.00,47.00,16.00,21.00,4.00,315.00,177.00,0.00,casos
2020-06-05,6.00,31.00,62.00,9.00,28.00,5.00,192.00,150.00,0.00,casos
2020-06-06,1.00,45.00,62.00,9.00,24.00,9.00,412.00,44.00,24.00,casos
2020-06-07,0.00,17.00,75.00,4.00,12.00,0.00,120.00,39.00,18.00,casos
2020-06-08,4.00,22.00,65.00,14.00,5.00,7.00,135.00,54.00,0.00,casos
2020-06-09,0.00,28.00,69.00,14.00,12.00,3.00,413.00,127.00,29.00,casos
2020-06-10,18.00,38.00,66.00,17.00,5.00,1.00,370.00,86.00,36.00,casos
2020-06-11,13.00,90.00,72.00,29.00,63.00,8.00,533.00,31.00,45.00,casos
2020-06-12,11.00,51.00,72.00,24.00,6.00,10.00,409.00,118.00,63.00,casos
2020-06-13,15.00,81.00,96.00,11.00,21.00,25.00,618.00,17.00,29.00,casos
2020-06-14,2.00,85.00,186.00,9.00,36.00,0.00,270.00,10.00,19.00,casos
2020-06-15,15.00,64.00,155.00,11.00,12.00,11.00,317.00,8.00,21.00,casos
2020-06-16,12.00,41.00,37.00,11.00,18.00,26.00,625.00,32.00,8.00,casos
2020-06-17,5.00,44.00,126.00,20.00,17.00,26.00,359.00,134.00,71.00,casos
2020-06-18,51.00,88.00,138.00,23.00,14.00,16.00,263.00,198.00,23.00,casos
2020-06-19,11.00,83.00,123.00,16.00,15.00,15.00,551.00,147.00,16.00,casos
2020-06-20,57.00,76.00,58.00,10.00,17.00,33.00,626.00,108.00,51.00,casos
2020-06-21,48.00,235.00,191.00,19.00,4.00,7.00,334.00,32.00,6.00,casos
2020-06-22,0.00,138.00,61.00,111.00,118.00,29.00,568.00,66.00,14.00,casos
2020-06-23,81.00,48.00,163.00,76.00,14.00,24.00,375.00,106.00,9.00,casos
2020-06-24,40.00,195.00,145.00,24.00,16.00,32.00,542.00,102.00,2.00,casos
2020-06-25,48.00,212.00,50.00,22.00,12.00,62.00,571.00,33.00,6.00,casos
2020-06-26,54.00,207.00,263.00,71.00,1.00,39.00,222.00,14.00,49.00,casos
2020-06-27,54.00,194.00,183.00,2.00,14.00,82.00,678.00,41.00,5.00,casos
2020-06-28,59.00,108.00,52.00,84.00,38.00,23.00,418.00,66.00,0.00,casos
2020-06-29,7.00,85.00,33.00,21.00,23.00,59.00,338.00,34.00,1.00,casos
2020-06-30,63.00,62.00,139.00,50.00,10.00,56.00,670.00,44.00,0.00,casos
2020-07-01,59.00,212.00,104.00,63.00,15.00,57.00,376.00,54.00,68.00,casos
2020-07-02,45.00,156.00,92.00,81.00,31.00,55.00,734.00,30.00,77.00,casos
2020-07-03,41.00,237.00,253.00,52.00,8.00,66.00,567.00,62.00,4.00,casos
2020-07-04,65.00,238.00,57.00,44.00,30.00,86.00,632.00,10.00,91.00,casos
2020-07-05,50.00,333.00,53.00,44.00,3.00,55.00,562.00,0.00,126.00,casos
2020-07-06,33.00,480.00,230.00,50.00,21.00,68.00,201.00,57.00,72.00,casos
2020-07-07,68.00,191.00,63.00,97.00,19.00,30.00,445.00,103.00,20.00,casos
2020-07-08,31.00,275.00,143.00,111.00,30.00,145.00,528.00,176.00,0.00,casos
2020-07-09,63.00,225.00,134.00,55.00,13.00,70.00,485.00,84.00,0.00,casos
2020-07-10,3.00,328.00,146.00,89.00,3.00,170.00,614.00,99.00,0.00,casos
2020-07-11,133.00,662.00,99.00,66.00,11.00,48.00,600.00,17.00,0.00,casos
2020-07-12,34.00,337.00,174.00,85.00,37.00,0.00,275.00,26.00,19.00,casos
2020-07-13,0.00,421.00,127.00,75.00,24.00,32.00,360.00,24.00,0.00,casos
2020-07-14,42.00,278.00,153.00,60.00,50.00,127.00,864.00,43.00,0.00,casos
2020-07-15,48.00,260.00,276.00,53.00,31.00,83.00,547.00,53.00,0.00,casos
2020-07-16,68.00,314.00,182.00,42.00,60.00,130.00,1073.00,69.00,0.00,casos
2020-07-17,46.00,233.00,119.00,96.00,26.00,155.00,1245.00,14.00,12.00,casos
2020-07-18,52.00,713.00,232.00,65.00,11.00,319.00,495.00,28.00,121.00,casos
2020-07-19,17.00,733.00,129.00,34.00,75.00,136.00,270.00,24.00,26.00,casos
2020-07-20,32.00,535.00,120.00,33.00,16.00,78.00,555.00,32.00,8.00,casos
2020-07-21,25.00,431.00,168.00,102.00,0.00,22.00,578.00,39.00,1.00,casos
2020-07-22,36.00,788.00,193.00,85.00,61.00,5.00,513.00,10.00,87.00,casos
2020-07-23,38.00,534.00,160.00,75.00,17.00,6.00,256.00,20.00,11.00,casos
2020-07-24,71.00,330.00,258.00,51.00,119.00,51.00,190.00,83.00,51.00,casos
2020-07-25,19.00,1098.00,115.00,100.00,5.00,180.00,292.00,13.00,3.00,casos
2020-07-26,8.00,409.00,124.00,99.00,46.00,225.00,234.00,1.00,2.00,casos
2020-07-27,60.00,623.00,560.00,66.00,7.00,144.00,281.00,5.00,6.00,casos
2020-07-28,27.00,215.00,206.00,37.00,15.00,193.00,431.00,20.00,2.00,casos
2020-07-29,23.00,364.00,100.00,54.00,6.00,161.00,466.00,10.00,23.00,casos
2020-07-30,18.00,613.00,172.00,160.00,6.00,231.00,440.00,51.00,9.00,casos
2020-07-31,89.00,356.00,448.00,0.00,16.00,150.00,419.00,65.00,12.00,casos
2020-08-01,43.00,474.00,388.00,500.00,34.00,116.00,329.00,111.00,9.00,casos
2020-08-02,47.00,398.00,208.00,120.00,56.00,230.00,234.00,67.00,0.00,casos
2020-08-03,58.00,876.00,189.00,48.00,51.00,125.00,324.00,19.00,3.00,casos
2020-08-04,62.00,416.00,216.00,149.00,43.00,107.00,463.00,31.00,28.00,casos
2020-08-05,76.00,909.00,182.00,70.00,77.00,80.00,322.00,28.00,36.00,casos
2020-08-06,99.00,551.00,96.00,67.00,13.00,24.00,378.00,32.00,22.00,casos
2020-08-07,126.00,906.00,83.00,12.00,32.00,17.00,229.00,31.00,32.00,casos
2020-08-08,99.00,624.00,43.00,78.00,28.00,1.00,236.00,17.00,38.00,casos
2020-08-09,51.00,501.00,151.00,21.00,40.00,0.00,133.00,12.00,35.00,casos
2020-08-10,125.00,716.00,136.00,12.00,81.00,150.00,335.00,47.00,34.00,casos
2020-08-11,141.00,586.00,123.00,43.00,291.00,163.00,207.00,85.00,54.00,casos
2020-08-12,149.00,813.00,145.00,21.00,120.00,198.00,232.00,9.00,56.00,casos
2020-08-13,169.00,424.00,84.00,13.00,256.00,195.00,185.00,24.00,38.00,casos
2020-08-14,181.00,457.00,185.00,10.00,235.00,204.00,171.00,0.00,48.00,casos
2020-08-15,146.00,520.00,87.00,18.00,194.00,56.00,114.00,3.00,58.00,casos
2020-08-16,185.00,654.00,13.00,14.00,116.00,52.00,115.00,0.00,49.00,casos
2020-08-17,177.00,276.00,52.00,14.00,138.00,104.00,95.00,14.00,9.00,casos
2020-08-18,162.00,243.00,80.00,16.00,861.00,261.00,69.00,51.00,53.00,casos
2020-08-19,107.00,805.00,72.00,68.00,268.00,305.00,282.00,71.00,53.00,casos
2020-08-20,89.00,206.00,58.00,129.00,118.00,190.00,107.00,63.00,55.00,casos
2020-08-21,78.00,465.00,68.00,79.00,98.00,277.00,144.00,82.00,79.00,casos
2020-08-22,115.00,214.00,102.00,61.00,100.00,121.00,173.00,84.00,22.00,casos
2020-08-23,102.00,343.00,53.00,53.00,35.00,34.00,87.00,13.00,2.00,casos
2020-08-24,67.00,607.00,112.00,29.00,61.00,43.00,64.00,7.00,9.00,casos
2020-08-25,81.00,214.00,61.00,18.00,112.00,84.00,179.00,80.00,22.00,casos
2020-08-26,65.00,349.00,51.00,30.00,194.00,97.00,262.00,27.00,20.00,casos
2020-08-27,72.00,353.00,93.00,52.00,114.00,148.00,136.00,53.00,14.00,casos
2020-08-28,101.00,498.00,43.00,38.00,165.00,199.00,162.00,63.00,11.00,casos
2020-08-29,73.00,329.00,86.00,51.00,55.00,231.00,94.00,19.00,7.00,casos
2020-08-30,36.00,220.00,7.00,44.00,0.00,274.00,23.00,8.00,2.00,casos
2020-08-31,87.00,101.00,73.00,9.00,67.00,120.00,152.00,18.00,3.00,casos
2020-09-01,75.00,40.00,62.00,8.00,116.00,134.00,193.00,29.00,12.00,casos
2020-09-02,65.00,85.00,84.00,16.00,105.00,117.00,154.00,32.00,3.00,casos
2020-09-03,73.00,108.00,43.00,102.00,101.00,246.00,93.00,82.00,5.00,casos
2020-09-04,63.00,214.00,30.00,43.00,178.00,124.00,122.00,18.00,7.00,casos
2020-09-05,50.00,279.00,26.00,19.00,68.00,124.00,78.00,14.00,3.00,casos
2020-09-06,60.00,164.00,9.00,28.00,108.00,122.00,27.00,7.00,3.00,casos
2020-09-07,21.00,272.00,5.00,9.00,174.00,238.00,85.00,29.00,2.00,casos
2020-09-08,78.00,107.00,42.00,14.00,172.00,147.00,117.00,25.00,2.00,casos
2020-09-09,135.00,297.00,50.00,99.00,183.00,129.00,116.00,27.00,1.00,casos
2020-09-10,71.00,232.00,45.00,51.00,189.00,107.00,125.00,40.00,0.00,casos
2020-09-11,108.00,153.00,123.00,10.00,233.00,222.00,98.00,20.00,0.00,casos
2020-09-12,108.00,132.00,176.00,21.00,89.00,242.00,38.00,4.00,0.00,casos
2020-09-13,77.00,214.00,77.00,33.00,39.00,284.00,68.00,17.00,0.00,casos
2020-09-14,64.00,323.00,50.00,29.00,93.00,195.00,60.00,14.00,0.00,casos
2020-09-15,71.00,112.00,69.00,9.00,82.00,219.00,104.00,1.00,0.00,casos
2020-09-16,79.00,73.00,33.00,25.00,50.00,242.00,68.00,14.00,2.00,casos
2020-09-17,100.00,38.00,34.00,17.00,21.00,240.00,73.00,24.00,0.00,casos
2020-09-18,87.00,33.00,50.00,22.00,113.00,280.00,36.00,10.00,1.00,casos
2020-09-19,34.00,94.00,14.00,12.00,13.00,194.00,53.00,5.00,0.00,casos
2020-09-20,41.00,34.00,2.00,22.00,16.00,65.00,25.00,1.00,0.00,casos
2020-09-21,16.00,27.00,28.00,6.00,54.00,128.00,48.00,3.00,0.00,casos
2020-09-22,73.00,37.00,7.00,10.00,54.00,212.00,50.00,23.00,1.00,casos
2020-09-23,48.00,24.00,22.00,41.00,135.00,167.00,60.00,40.00,0.00,casos
2020-09-24,62.00,45.00,37.00,44.00,63.00,318.00,38.00,20.00,1.00,casos
2020-09-25,61.00,45.00,19.00,29.00,67.00,234.00,134.00,15.00,0.00,casos
2020-09-26,46.00,52.00,22.00,0.00,82.00,127.00,36.00,5.00,0.00,casos
2020-09-27,46.00,29.00,4.00,18.00,11.00,156.00,44.00,0.00,1.00,casos
2020-09-28,23.00,17.00,30.00,14.00,40.00,160.00,37.00,0.00,1.00,casos
2020-09-29,14.00,3.00,31.00,8.00,40.00,262.00,59.00,0.00,1.00,casos
2020-09-30,31.00,29.00,17.00,12.00,70.00,466.00,37.00,7.00,1.00,casos
2020-10-01,28.00,40.00,15.00,13.00,24.00,227.00,25.00,32.00,1.00,casos
2020-10-02,25.00,40.00,18.00,18.00,67.00,218.00,101.00,16.00,0.00,casos
2020-10-03,34.00,28.00,3.00,10.00,75.00,153.00,37.00,10.00,0.00,casos
2020-10-04,24.00,14.00,12.00,13.00,55.00,138.00,43.00,0.00,0.00,casos
2020-10-05,18.00,16.00,14.00,2.00,25.00,135.00,26.00,3.00,0.00,casos
2020-10-06,14.00,0.00,33.00,11.00,56.00,177.00,69.00,0.00,1.00,casos
2020-10-07,14.00,49.00,22.00,13.00,41.00,46.00,53.00,0.00,0.00,casos
2020-10-08,59.00,22.00,7.00,10.00,35.00,78.00,47.00,5.00,0.00,casos
2020-10-09,23.00,47.00,15.00,23.00,39.00,27.00,70.00,13.00,0.00,casos
2020-10-10,15.00,30.00,4.00,13.00,30.00,94.00,33.00,18.00,0.00,casos
2020-10-11,8.00,8.00,0.00,12.00,15.00,50.00,11.00,7.00,0.00,casos
2020-10-12,20.00,2.00,11.00,8.00,19.00,32.00,27.00,2.00,0.00,casos
2020-10-13,32.00,19.00,19.00,11.00,41.00,58.00,43.00,4.00,0.00,casos
2020-10-14,19.00,12.00,3.00,8.00,34.00,49.00,92.00,0.00,2.00,casos
2020-10-15,11.00,36.00,23.00,3.00,15.00,45.00,43.00,2.00,0.00,casos
2020-10-16,32.00,27.00,17.00,5.00,23.00,76.00,46.00,17.00,0.00,casos
2020-10-17,43.00,11.00,6.00,9.00,13.00,50.00,14.00,2.00,0.00,casos
2020-10-18,20.00,9.00,0.00,8.00,3.00,0.00,21.00,0.00,0.00,casos
2020-10-19,6.00,6.00,24.00,2.00,20.00,24.00,36.00,1.00,0.00,casos
2020-10-20,19.00,9.00,15.00,4.00,19.00,35.00,36.00,8.00,2.00,casos
2020-10-21,17.00,30.00,23.00,6.00,11.00,39.00,61.00,4.00,0.00,casos
2020-10-22,20.00,11.00,13.00,13.00,19.00,73.00,64.00,4.00,0.00,casos
2020-10-23,30.00,19.00,2.00,9.00,25.00,37.00,44.00,1.00,0.00,casos
2020-10-24,31.00,29.00,4.00,5.00,21.00,50.00,24.00,3.00,0.00,casos
2020-10-25,31.00,13.00,0.00,5.00,2.00,19.00,3.00,0.00,1.00,casos
2020-10-26,15.00,2.00,12.00,1.00,20.00,18.00,31.00,0.00,0.00,casos
2020-10-27,15.00,29.00,6.00,4.00,21.00,49.00,48.00,0.00,0.00,casos
2020-10-28,34.00,29.00,13.00,8.00,10.00,51.00,51.00,1.00,0.00,casos
2020-10-29,21.00,18.00,21.00,16.00,10.00,38.00,38.00,0.00,1.00,casos
2020-10-30,16.00,46.00,11.00,8.00,6.00,37.00,22.00,0.00,1.00,casos
2020-10-31,15.00,15.00,0.00,9.00,13.00,60.00,14.00,0.00,0.00,casos
2020-11-01,14.00,18.00,0.00,7.00,0.00,13.00,24.00,0.00,0.00,casos
2020-11-02,9.00,0.00,10.00,0.00,7.00,0.00,8.00,0.00,0.00,casos
2020-11-03,5.00,5.00,1.00,0.00,12.00,16.00,23.00,6.00,1.00,casos
2020-11-04,12.00,10.00,11.00,6.00,10.00,25.00,46.00,5.00,1.00,casos
2020-11-05,6.00,38.00,12.00,4.00,8.00,26.00,40.00,5.00,0.00,casos
2020-11-06,14.00,13.00,3.00,11.00,15.00,27.00,50.00,6.00,3.00,casos
2020-11-07,4.00,14.00,7.00,2.00,6.00,36.00,12.00,0.00,3.00,casos
2020-11-08,9.00,11.00,2.00,16.00,4.00,0.00,6.00,0.00,0.00,casos
2020-11-09,2.00,2.00,4.00,4.00,7.00,23.00,41.00,3.00,0.00,casos
2020-11-10,8.00,21.00,6.00,2.00,4.00,31.00,31.00,0.00,0.00,casos
2020-11-11,4.00,6.00,9.00,6.00,20.00,26.00,37.00,3.00,1.00,casos
2020-11-12,2.00,8.00,20.00,14.00,22.00,12.00,35.00,0.00,0.00,casos
2020-11-13,9.00,59.00,18.00,1.00,22.00,15.00,51.00,1.00,4.00,casos
2020-11-14,15.00,36.00,3.00,4.00,17.00,22.00,12.00,0.00,3.00,casos
2020-11-15,8.00,19.00,4.00,8.00,0.00,0.00,26.00,0.00,0.00,casos
2020-11-16,3.00,34.00,22.00,4.00,13.00,7.00,42.00,0.00,0.00,casos
2020-11-17,6.00,15.00,6.00,2.00,2.00,19.00,45.00,6.00,1.00,casos
2020-11-18,3.00,21.00,2.00,3.00,22.00,11.00,28.00,6.00,0.00,casos
2020-11-19,10.00,62.00,10.00,6.00,43.00,17.00,37.00,1.00,1.00,casos
2020-11-20,8.00,14.00,9.00,10.00,3.00,12.00,42.00,0.00,0.00,casos
2020-11-21,10.00,6.00,8.00,2.00,5.00,17.00,20.00,0.00,0.00,casos
2020-11-22,3.00,24.00,1.00,11.00,13.00,0.00,4.00,0.00,0.00,casos
2020-11-23,4.00,1.00,10.00,0.00,1.00,10.00,30.00,0.00,0.00,casos
2020-11-24,5.00,7.00,14.00,3.00,15.00,12.00,55.00,1.00,1.00,casos
2020-11-25,6.00,16.00,16.00,4.00,23.00,12.00,44.00,7.00,1.00,casos
2020-11-26,3.00,10.00,32.00,5.00,14.00,6.00,40.00,0.00,4.00,casos
2020-11-27,13.00,19.00,16.00,8.00,12.00,3.00,31.00,1.00,1.00,casos
2020-11-28,17.00,23.00,5.00,1.00,1.00,34.00,16.00,0.00,1.00,casos
2020-11-29,3.00,5.00,0.00,10.00,4.00,0.00,8.00,0.00,0.00,casos
2020-11-30,6.00,3.00,15.00,3.00,5.00,6.00,45.00,2.00,1.00,casos
2020-12-01,2.00,7.00,13.00,6.00,2.00,9.00,62.00,0.00,1.00,casos
2020-12-02,8.00,15.00,14.00,10.00,33.00,10.00,91.00,2.00,1.00,casos
2020-12-03,7.00,45.00,13.00,14.00,12.00,12.00,88.00,1.00,0.00,casos
2020-12-04,7.00,30.00,14.00,15.00,11.00,6.00,51.00,3.00,2.00,casos
2020-12-05,5.00,32.00,4.00,10.00,28.00,18.00,62.00,2.00,6.00,casos
2020-12-06,8.00,20.00,4.00,10.00,6.00,0.00,20.00,0.00,0.00,casos
2020-12-07,3.00,3.00,16.00,2.00,14.00,4.00,55.00,0.00,0.00,casos
2020-12-08,14.00,21.00,14.00,6.00,27.00,9.00,96.00,2.00,0.00,casos
2020-12-09,7.00,15.00,15.00,9.00,17.00,6.00,141.00,1.00,3.00,casos
2020-12-10,12.00,87.00,21.00,7.00,17.00,14.00,161.00,1.00,5.00,casos
2020-12-11,16.00,66.00,17.00,4.00,4.00,12.00,186.00,0.00,7.00,casos
2020-12-12,6.00,37.00,16.00,12.00,26.00,10.00,218.00,2.00,6.00,casos
2020-12-13,8.00,48.00,1.00,5.00,9.00,2.00,46.00,0.00,1.00,casos
2020-12-14,5.00,11.00,9.00,2.00,7.00,2.00,156.00,2.00,1.00,casos
2020-12-15,10.00,64.00,10.00,11.00,4.00,18.00,250.00,2.00,2.00,casos
2020-12-16,10.00,133.00,21.00,11.00,26.00,18.00,270.00,4.00,5.00,casos
2020-12-17,13.00,132.00,10.00,16.00,12.00,12.00,240.00,4.00,12.00,casos
2020-12-18,16.00,102.00,29.00,25.00,15.00,15.00,274.00,3.00,5.00,casos
2020-12-19,33.00,117.00,21.00,18.00,18.00,23.00,380.00,2.00,9.00,casos
2020-12-20,56.00,123.00,6.00,24.00,0.00,0.00,33.00,0.00,11.00,casos
2020-12-21,7.00,46.00,58.00,6.00,5.00,12.00,227.00,0.00,1.00,casos
2020-12-22,21.00,123.00,59.00,13.00,9.00,22.00,408.00,10.00,9.00,casos
2020-12-23,43.00,325.00,61.00,30.00,11.00,30.00,476.00,18.00,11.00,casos
2020-12-24,70.00,334.00,66.00,22.00,20.00,52.00,474.00,8.00,11.00,casos
2020-12-25,83.00,171.00,13.00,14.00,33.00,0.00,136.00,0.00,19.00,casos
2020-12-26,18.00,197.00,87.00,6.00,20.00,25.00,403.00,0.00,3.00,casos
2020-12-27,22.00,213.00,35.00,9.00,0.00,1.00,206.00,0.00,8.00,casos
2020-12-28,34.00,100.00,62.00,6.00,7.00,12.00,483.00,45.00,2.00,casos
2020-12-29,58.00,279.00,179.00,17.00,23.00,49.00,651.00,18.00,19.00,casos
2020-12-30,106.00,339.00,122.00,57.00,27.00,40.00,669.00,95.00,30.00,casos
2020-12-31,164.00,353.00,199.00,36.00,44.00,36.00,875.00,28.00,17.00,casos
2021-01-01,73.00,396.00,48.00,60.00,12.00,39.00,183.00,16.00,34.00,casos
2021-01-02,74.00,386.00,92.00,11.00,1.00,63.00,426.00,0.00,17.00,casos
2021-01-03,44.00,111.00,95.00,14.00,11.00,0.00,307.00,0.00,24.00,casos
2021-01-04,98.00,110.00,168.00,12.00,35.00,33.00,495.00,49.00,10.00,casos
