,Chuquisaca,La Paz,Cochabamba,Oruro,Potosí,Tarija,Santa Cruz,Beni,Pando,tipo
2020-03-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,casos
2020-03-11,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,casos
2020-03-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,casos
2020-03-13,0.00,0.00,1.00,6.00,0.00,0.00,0.00,0.00,0.00,casos
2020-03-14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,casos
2020-03-15,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,casos
2020-03-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,casos
2020-03-17,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,casos
2020-03-18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,casos
2020-03-19,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,casos
2020-03-20,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,casos
2020-03-21,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,casos
2020-03-22,0.00,0.00,1.00,0.00,0.00,0.00,6.00,0.00,0.00,casos
2020-03-23,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,casos
2020-03-24,0.00,1.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,casos
2020-03-25,0.00,2.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,casos
2020-03-26,0.00,4.00,7.00,0.00,1.00,0.00,10.00,0.00,0.00,casos
2020-03-27,1.00,0.00,4.00,0.00,0.00,0.00,8.00,0.00,0.00,casos
2020-03-28,0.00,2.00,0.00,0.00,2.00,0.00,2.00,0.00,1.00,casos
2020-03-29,0.00,3.00,4.00,0.00,0.00,0.00,8.00,0.00,0.00,casos
2020-03-30,0.00,1.00,2.00,0.00,0.00,1.00,7.00,0.00,0.00,casos
2020-03-31,0.00,2.00,0.00,0.00,1.00,0.00,5.00,0.00,0.00,casos
2020-04-01,0.00,0.00,1.00,0.00,0.00,0.00,4.00,0.00,3.00,casos
2020-04-02,0.00,3.00,1.00,0.00,1.00,0.00,2.00,0.00,2.00,casos
2020-04-03,0.00,1.00,2.00,0.00,0.00,0.00,4.00,0.00,0.00,casos
2020-04-04,0.00,3.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,casos
2020-04-05,0.00,9.00,9.00,0.00,0.00,0.00,8.00,0.00,0.00,casos
2020-04-06,0.00,5.00,0.00,0.00,3.00,0.00,3.00,0.00,0.00,casos
2020-04-07,0.00,2.00,5.00,0.00,2.00,0.00,3.00,0.00,4.00,casos
2020-04-08,0.00,18.00,9.00,0.00,3.00,0.00,24.00,0.00,0.00,casos
2020-04-09,0.00,0.00,1.00,0.00,0.00,0.00,3.00,0.00,0.00,casos
2020-04-10,0.00,2.00,0.00,1.00,0.00,0.00,4.00,0.00,0.00,casos
2020-04-11,0.00,6.00,1.00,2.00,2.00,0.00,13.00,0.00,1.00,casos
2020-04-12,0.00,8.00,3.00,2.00,0.00,1.00,16.00,0.00,0.00,casos
2020-04-13,0.00,7.00,2.00,1.00,0.00,0.00,14.00,0.00,0.00,casos
